idx,db_id,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text,review_needed,review_reason
1,3039,context,0.2789,0.5495,0.1332,1,1,1,1,,,,neutral,0.9991,0.5500444173812866,이사회 구조,G,이사회 구성 및 독립성,국민연금이 KT 지배권에 적극 개입하는 것과 관련해 주목을 끈 것은 KT의 이사회 구성이다. 과거 노무현 참여정부에서 청와대 시민사회수석을 지냈던 이강철씨와 역시 참여정부 청와대의 경제정책수석을 지낸 김대유씨가 KT의 현 사외이사다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
2,3026,context,0.274,0.5354,0.1333,1,1,1,1,,,,neutral,0.9999,0.5355017185211182,이사회 구조,G,이사회 구성 및 독립성,금융계에 따르면 손 회장은 입장 발표에 앞서 이날 오전 우리금융 이사회 구성원과 만나 자신의 거취 관련 입장을 전달했다. 손 회장의 연임 포기는 이날 오후 차기 회장을 뽑기 위한 우리금융 임추위 첫 회동을 앞두고 나왔다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
3,3047,context,0.299,0.5803,0.1599,1,2,1,1,,,,neutral,0.9993,0.5806723237037659,윤리경영·준법,G,반부패 및 컴플라이언스,"회원사는 인권 노동 환경 반부패 4대 분야의 10대 원칙을 준수하고, 지속가능 발전 목표(SDGs)를 달성하기 위해 이행 보고서(COP)를 매년 제출해 공개해야 한다. 국내 게임사 중 최초로 UNGC에 가입한 넷마블은 이용자와 주주, 지역사회 등 이해 관계자에게 지속가능경영 성과를 담은 노력을 공유할 방침이라고 밝혔다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
4,3023,context,0.2871,0.5726,0.1333,1,1,1,1,,,,neutral,0.9998,0.5726916193962097,이사회 구조,G,이사회 구성 및 독립성,"한국ESG평가원 손종원 대표는 국내 기업의 주총 이슈는 이제껏 기업 실적과 배당, 신사업 투자 등에 집중됐지만, 점차 기후변화와 이사회 독립성 등 ESG 관련 이슈가 확대될 것이라며 이는 바람직한 변화라고 설명했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
5,3043,context,0.2975,0.6025,0.1333,1,1,1,1,,,,neutral,0.9998,0.6026042699813843,이사회 구조,G,이사회 구성 및 독립성,한국ESG평가원 손종원 대표는 ESG경영에 힘쓰는 기업들은 이사회 구성과 운영에 많은 경영자원을 집중하고 그 결과 사외이사의 보수와 대우에도 많은 비용을 지불한다는 사실이 확인된 점이 흥미롭다 고 말했다. 그러나 사외이사의 높은 연봉이 기업지배구조에 도움된다고 볼 수는 없다. 연봉이 자칫 과잉으로 흐를 경우 이사회 멤버들의 독립적 활동을 저해하는 요소가 될 수도 있다 고 지적했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
6,3022,context,0.3409,0.7265,0.1333,1,1,1,1,,,,neutral,0.9998,0.7266061305999756,이사회 구조,G,이사회 구성 및 독립성,"한편 글래스 루이스는 이사 선임과 관련해 상장사의 사내이사로 재직하면서 2개 이상 다른 상장사의 이사나 감사, 집행임원을 겸임한 후보자와 5개 이상의 상장사 이사회 구성원을 겸임한 후보자의 이사 선임에 반대 의결권 행사를 권고했다. 국내 상법은 이미 특정인의 상장회사 사외이사 선임을 2개 이내로 제한하고 있는데 여기에 이사회 멤버가 아닌 집행임원까지 포함해 적용하라는 권고인 것이다. 글래스 루이스는 다만 해외 기업을 포함한 5개 상장사의 이사 등을 겸임하는 경우에는 이사 선임에 찬성한다는 입장이다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
7,3017,context,0.3335,0.6258,0.17,1,1,2,1,,,,neutral,0.9809,0.6380013227462769,ESG 데이터 거버넌스,G,ESG 데이터 내부통제,탄소SAFE 2단계 저장 단지의 실현가능성(CarbonSAFE Phase II Storage Complex Feasibility) 을 목적으로 하는 11개 프로젝트에는 9300만 달러가 투자된다. 이 프로젝트들은 저장 단지 내의 역내외 이산화탄소 프로젝트 추진 장소들을 상업적 차원에서 효과적이고 안전하게 평가하는 절차를 개선하는 일이다. 이들 프로젝트는 누적 5000만 톤이 넘는 이산화탄소를 저장할 지질을 찾아 시설을 짓는 일에 집중할 탄소SAFE 이니셔티브 에 따라 선별된 것들이다. 탄소SAFE는 탄소저장 보증시설 사업(Carbon Storage Assurance Facility Enterprise) 의 약자다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1)
8,2801,context,0.2075,0.4321,0.0866,1,1,1,1,,,,neutral,0.6495,0.665307879447937,윤리경영·준법,G,반부패 및 컴플라이언스,ISSA 5000은 인증에 참여할 수 있는 기관을 회계법인과 일정 자격을 가진 독립된 기관으로 정해 놓았다. 인증 기관은 국제윤리기준위원회의 국제윤리기준(International Independence Standards)을 포함한 전문회계사 윤리강령(International Code of Ethics for Professional Accountants)과 같은 관련 윤리적 요구 사항을 준수하고 ISSAB의 품질관리기준에 부합하는 수준의 품질관리 시스템을 적용해야 한다.,TRUE,낮은신뢰도(0.649) | 감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
9,2958,context,0.2685,0.5195,0.1333,1,1,1,1,,,,neutral,0.9998,0.5195803046226501,이사회 구조,G,이사회 구성 및 독립성,"다만 Insightia(2022년) 자료를 KB증권에서 분석한 내용에 따르면 ESG 행동주의의 목표가 다양하고 장기적인 주주가치 상승이라는 점은 기존의 주주행동주의와 다르나, 행동 수단은 운영전략 변화, 이사회 구성원 추가 등 전통적인 수단을 사용할 수밖에 없어 보인다.(표1 참조)",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
10,2960,context,0.2651,0.4567,0.1866,1,3,1,1,,,,neutral,0.9997,0.4568387567996979,이사회 구조,G,이사회 구성 및 독립성,업계와 자본시장 전문가들 중에 8월까지인 TF 활동 기간이 너무 길다 는 쪽도 있다. 그들은 TF는 이와 상관없이 최대한 빠른 시간 안에 이사회 구성과 CEO 선임을 마쳐 KT의 경영공백을 최소화하는 노력을 해야 한다 는 입장이다.,TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
