chunk_id,text,label_gold,iro_type_gold,sub_issue_id,polarity_pred,polarity_conf,all_scores,issue_relevance,impact_relevance,financial_relevance,signal_strength,time_horizon,rationale,evidence_spans,review_needed,review_reason
chunk_0001,"현대모비스, 리콜 50만대 실시 - 충당부채 200억원 설정",negative,risk,S_PRODUCT_SAFETY,negative,0.89,"{'negative': 0.89, 'neutral': 0.066, 'positive': 0.044}",,,,,short,,,FALSE,
chunk_0002,HL만도 온실가스 배출량 전년 대비 15% 감소 달성,positive,positive_impact,E_CLIMATE_RISK,positive,0.95,"{'positive': 0.95, 'neutral': 0.03, 'negative': 0.02}",,,,,mid,,,FALSE,
chunk_0003,"한온시스템, 산업재해율 업계 평균 대비 2배 높아 논란",negative,negative_impact,S_OCCUPATIONAL_SAFETY,negative,0.89,"{'negative': 0.89, 'neutral': 0.066, 'positive': 0.044}",,,,,mid,,,FALSE,
chunk_0004,"위아 ESG 위원회 신설, 이사회 내 독립적 감독 체계 구축",positive,context,G_ESG_GOVERNANCE,positive,0.89,"{'positive': 0.89, 'neutral': 0.066, 'negative': 0.044}",,,,,mid,,,FALSE,
chunk_0005,"공급망 내 협력사 인권침해 의혹 제기, 조사 착수",negative,risk,S_HUMAN_RIGHTS,negative,0.89,"{'negative': 0.89, 'neutral': 0.066, 'positive': 0.044}",,,,,short,,,FALSE,
chunk_0006,"전기차 부품 전환율 40% 달성, 미래 수주 확대 기대",positive,opportunity,E_PRODUCT_ECO,positive,0.95,"{'positive': 0.95, 'neutral': 0.03, 'negative': 0.02}",,,,,long,,,FALSE,
chunk_0007,"배수 오염 사고 발생, 환경부 행정처분 예정",negative,negative_impact,E_WATER_POLLUTION,negative,0.95,"{'negative': 0.95, 'neutral': 0.03, 'positive': 0.02}",,,,,mid,,,FALSE,
chunk_0008,"탄소중립 로드맵 발표, 2040년 넷제로 목표 선언",positive,opportunity,E_CLIMATE_RISK,positive,0.77,"{'positive': 0.77, 'neutral': 0.138, 'negative': 0.092}",,,,,long,,,FALSE,
chunk_0009,"임원 보수 과다 논란, 주주총회 반대표 35% 집계",negative,risk,G_EXECUTIVE_PAY,negative,0.77,"{'negative': 0.77, 'neutral': 0.138, 'positive': 0.092}",,,,,short,,,FALSE,
chunk_0010,"협력사 대금 지급 지연 개선, 상생협력 지수 A등급",positive,positive_impact,S_SUPPLY_CHAIN,positive,0.95,"{'positive': 0.95, 'neutral': 0.03, 'negative': 0.02}",,,,,mid,,,FALSE,
chunk_0011,"개인정보 유출 사고, 고객 50만명 피해 발생",negative,risk,S_DATA_PRIVACY,negative,0.95,"{'negative': 0.95, 'neutral': 0.03, 'positive': 0.02}",,,,,short,,,FALSE,
chunk_0012,친환경 공정 도입으로 용수 사용량 20% 절감,positive,positive_impact,E_WATER_USAGE,positive,0.89,"{'positive': 0.89, 'neutral': 0.066, 'negative': 0.044}",,,,,mid,,,FALSE,
chunk_0013,"산업안전보건법 위반, 과태료 5000만원 부과",negative,risk,S_OCCUPATIONAL_SAFETY,negative,0.95,"{'negative': 0.95, 'neutral': 0.03, 'positive': 0.02}",,,,,short,,,FALSE,
chunk_0014,"R&D 투자 3년 연속 증가, 매출 대비 5.2%",positive,opportunity,E_GREEN_INVESTMENT,positive,0.77,"{'positive': 0.77, 'neutral': 0.138, 'negative': 0.092}",,,,,long,,,FALSE,
chunk_0015,"기후변화로 인한 원자재 공급망 불안정, 원가 상승 우려",negative,risk,E_CLIMATE_RISK,negative,0.89,"{'negative': 0.89, 'neutral': 0.066, 'positive': 0.044}",,,,,short,,,FALSE,
chunk_0016,"이사회 내 여성 비율 25% 달성, 다양성 강화",positive,context,G_BOARD_DIVERSITY,positive,0.95,"{'positive': 0.95, 'neutral': 0.03, 'negative': 0.02}",,,,,mid,,,FALSE,
chunk_0017,"고객사 납품 결함 발생, 손해배상 소송 진행 중",negative,risk,S_PRODUCT_SAFETY,negative,0.95,"{'negative': 0.95, 'neutral': 0.03, 'positive': 0.02}",,,,,short,,,FALSE,
chunk_0018,LCA(전과정 평가) 도입으로 제품 환경영향 정량화,positive,context,E_PRODUCT_ECO,positive,0.77,"{'positive': 0.77, 'neutral': 0.138, 'negative': 0.092}",,,,,mid,,,FALSE,
chunk_0019,"협력사 ESG 역량 강화 프로그램 운영, 50개사 참여",positive,positive_impact,S_SUPPLY_CHAIN,positive,0.83,"{'positive': 0.83, 'neutral': 0.102, 'negative': 0.068}",,,,,mid,,,FALSE,
chunk_0020,"사이버 보안 취약점 발견, 긴급 패치 배포",negative,risk,S_DATA_PRIVACY,negative,0.71,"{'negative': 0.71, 'neutral': 0.174, 'positive': 0.116}",,,,,short,,,FALSE,
