idx,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text
1,opportunity,0.5707,0.5957,0.5332,3,1,1,1,positive,0.9998,0.5958372354507446,에너지 관리,E,에너지 소비 및 효율화,"LG는 탄소중립 달성을 위해 고효율 설비를 통한 에너지 효율 개선과 폐열이나 바이오 연료를 활용한 화석연료 대체, 탄소 저감 신기술 개발 및 적용 등에 2030년까지 3조4000억원을 투자하기로 했다. 신기술에는 블루수소나 그린수소 생산 기술도 포함된다."
2,context,0.4539,0.6681,0.1327,1,1,1,1,neutral,0.9951,0.6713525056838989,에너지 관리,E,신재생에너지 전환,REC는 재생에너지 전력을 100% 사용한다는 기업의 약속인 RE100 달성 수단이기도 하다.
3,opportunity,0.2266,0.2565,0.1818,1,1,1,1,positive,0.5454,0.47037839889526367,기후변화·온실가스,E,Scope 3 배출량,"당초 철강과 시멘트, 알루미늄, 비료, 전력 산업에 적용할 계획이었으나 최근 화석연료로 생산하는 수소와 특정 전구체, 나사 및 볼트 등 일부 다운스트림 제품으로 범위를 확대했다."
4,context,0.4799,0.711,0.1332,1,1,1,1,neutral,0.999,0.7116645574569702,에너지 관리,E,신재생에너지 전환,"RE100에 가입하려면 가입 신청서 제출 후 클라이밋 그룹의 가입 승인을 받아야 한다. RE100에 가입한 기업은 1년 안에 이행계획을 제출하고 매년 이행상황을 점검받는다. RE100 가입 기업은 재생에너지 사용실적을 제3의 기관을 통해 검증받고, ESG 공시기준 제공 기관인 CDP가 제시하는 기술적 기준(technical criteria)에 따라 매년 이행 실적 보고서를 제출해야 한다."
5,context,0.5201,0.7246,0.2133,3,1,1,1,neutral,0.9999,0.7246688604354858,에너지 관리,E,신재생에너지 전환,"2030년 재생에너지 발전 비중을 현재의 6.2%에서 21.6%로 높이는 목표를 달성하기 위한 조치다. 구체적으로 최근 공급 초과 현상이 빚어지고 있는 재생에너지공급 인증서(Renewable Energy Certificate, REC) 시장 수급여건을 개선함으로써 재생에너지 발전사업자의 수익성을 개선해 재생에너지 발전량을 늘리기 위한 조치다."
6,opportunity,0.5706,0.5511,0.5999,3,2,1,1,positive,0.9998,0.5511603951454163,기후변화·온실가스,E,Scope 3 배출량,"한화솔루션의 태양광 자회사인 한화큐셀은 이번 투자는 미 태양광 에너지 산업 역사상 최대 규모이며, 단일 기업이 북미 지역에 태양광 핵심 밸류체인별 생산 라인을 모두 갖추는 첫 사례 라고 밝혔다. 태양광 산업 밸류체인은 원재료인 폴리실리콘과 잉곳, 웨이퍼를 만드는 업스트림(Upstream)과 태양광발전 시스템의 주요 구성품인 셀과 모듈을 만드는 미드스트림(Mid-stream), 그리고 발전사업의 다운스트림(Downstream) 으로 이루어진다."
7,context,0.5124,0.694,0.24,1,2,3,1,neutral,0.9999,0.6941072940826416,기후변화·온실가스,E,기후 거버넌스·인벤토리,"개정된 프로토콜에는 투자 대상 국채 관련 탄소회계 방법론도 처음 포함됐다. 국채는 대다수 기관투자자의 주요 투자 대상이다. 탄소회계는 기업이 발생시킨 탄소와 그 영향을 정량화해 관리하는 시스템이다. 넷제로투자자연합은 탄소회계금융협회(PCAF), ASCOR(Assessing Sovereign Climate-related Opportunities and Risks)와 협력해 국채 관련 탄소회계 방법론과 탄소 측정 기준을 개발하고 있다."
8,context,0.4435,0.6329,0.1594,1,2,1,1,neutral,0.9961,0.6354144215583801,에너지 관리,E,신재생에너지 전환,"충남대병원은 환경 부문에서는 저탄소 녹색병원을 이루기 위해 환경 관련 법규 준수와 더불어 건물에너지관리시스템 고도화, 지열 및 태양열 이용한 신재생에너지 이용 비율 높이기 등 녹색 인프라를 확충해 나갈 방침이다. 또 사회 부문에서는 사람 중심의 포용적 사회적 가치 실현에 중점을 두고 지배구조 부문에서 역시 여러 이해관계자들과 소통하며 공정하고 투명한 윤리 경영을 추구할 것이라고 강조했다."
9,context,0.3137,0.4343,0.1327,1,1,1,1,neutral,0.9956,0.43624618649482727,에너지 관리,E,신재생에너지 전환,"미국 정부는 태양광을 통한 재생에너지 생산을 독려하고 있지만, 태양광 모듈시장의 중국산 점유율이 높아 중국 좋은 일만 시키는 꼴 아니냐는 고민에 빠져 있었다. 더구나 미중 패권전쟁이 기술전쟁 양상으로 전개되면서 미 바이든 행정부는 신재생에너지 분야에서도 중국 견제에 본격 나설 태세를 보인다."
10,opportunity,0.3414,0.3418,0.3407,3,1,1,1,positive,0.6388,0.5350496768951416,에너지 관리,E,신재생에너지 전환,한화솔루션은 신재생에너지 발전과 연계한 친환경 데이터센터와 물류센터 개발 사업을 발굴 투자하고 SKS크레딧은 신규 펀드 2500억원의 규모로 조성해 투자 자금을 조달하고 수익 관리를 담당한다.
11,opportunity,0.3789,0.4719,0.2393,1,1,1,1,positive,0.718,0.6572133898735046,에너지 관리,E,신재생에너지 전환,한국동서발전은 샤넬코리아와 기후변화 영향 완화 해결책 모색을 위한 업무협약을 체결했다고 13일 밝혔다. 이번 협약에 따라 한국동서발전은 샤넬코리아의 RE100 달성을 지원한다. RE100은 기업이 사용하는 전력 100%를 재생에너지로 대체하는 것이 목표인 국제적인 기업 협약 프로젝트다.
12,opportunity,0.5285,0.6587,0.3333,1,1,1,1,positive,0.9998,0.6588200926780701,에너지 관리,E,신재생에너지 전환,"우선, 한화솔루션은 올해 MS가 전력 구매 계약(PPA)을 체결할 태양광 발전소에 2.5기가와트(GW) 이상의 모듈을 공급할 예정이다. MS의 태양광 발전소 건설을 위한 설계 조달 시공(EPC) 역시 한화솔루션이 맡게 된다."
13,context,0.4405,0.6099,0.1863,1,3,1,1,neutral,0.9983,0.6109675765037537,에너지 관리,E,에너지 소비 및 효율화,"미국의 법률 전문매체 렉솔로지(Lexology)는 3일 이번 개편으로 탄소배출권 거래제가 EU 경제의 거의 모든 분야에 적용될 것 이라며 이산화탄소 배출에 따른 비용 부담에 대비해 기업과 공공부문, 가계는 가용 기술과 탄소포집, 재생에너지 투자, 에너제 효율 개선 등에 집중해야 한다 고 지적했다."
14,opportunity,0.4674,0.5624,0.325,1,1,1,1,positive,0.9749,0.5768507122993469,에너지 관리,E,신재생에너지 전환,"KB증권은 재생에너지를 통한 비용절감 및 탄소발자국 줄이기 위한 ESG경영을 위해 KB증권 소유 건물인 경기도 용인시 연수원에 105kW, 울산광역시 남울산사옥에 10kW 용량의 태양광 발전설비를 준공했다."
15,opportunity,0.4104,0.3952,0.4332,1,1,2,1,positive,0.9997,0.39535608887672424,에너지 관리,E,신재생에너지 전환,"이는 현재까지 태양광 설비 최대 신설로 기록된 2021년 13.4기가와트의 두 배 이상 되는 규모다. 미국의 태양광 발전은 2010년 이후 급증세를 보였으나, 지난해에는 원자재와 부품 공급 차질 등으로 23% 급감했다. EIA는 지난해 지연된 일부 태양광 사업이 올해 추진되면서 설비 증가 폭을 키울 것으로 전망했다."
16,context,0.3417,0.4858,0.1255,1,1,1,1,neutral,0.9412,0.51617830991745,기후변화·온실가스,E,Scope 3 배출량,"EU는 당초 탄소 배출량이 많고 배출량을 측정하기 쉬운 시멘트와 철 철강, 알루미늄, 비료, 전력을 1차 적용 대상으로 정했으나, 이번 합의를 통해 화석연료로 생산하는 수소와 특정 전구체, 나사 및 볼트 등 일부 다운스트림 제품으로 적용 대상 산업과 품목을 확대했다."
17,context,0.376,0.5388,0.1318,1,1,1,1,neutral,0.9888,0.544908344745636,에너지 관리,E,신재생에너지 전환,RPS 대상 사업자의 의무공급비율을 상향조정하면 REC 매수를 놓고 RPS 사업자와 기업이 경쟁해 REC 가격이 상승할 수도 있다. RE100 가입 기업에는 불리한 여건이 조성될 수 있는 셈이다.
18,context,0.4101,0.5947,0.1331,1,1,1,1,neutral,0.9979,0.5959392786026001,에너지 관리,E,신재생에너지 전환,앞서 KB금융그룹은 2021년 9월 국내 금융그룹 중 최초로 기업 사용전력의 100%를 재생에너지로 활용하겠다는 선언인 RE100 에 가입했다. KB증권은 이번에 구축한 태양광 발전으로 연 28톤 정도의 이산화탄소 감축 효과를 기대하고 있다. 이는 매년 나무 5000여 그루를 심는 것과 같은 수준이다.
19,context,0.3307,0.4628,0.1326,1,1,1,1,neutral,0.9947,0.4652520418167114,에너지 관리,E,신재생에너지 전환,"지열 개발이 순조롭게 진행되려면 개발 기술이 더 고도화해야 하는 것은 물론이고 풍력과 태양광 같은 전통 재생 에너지보다 생산원가가 비싸다는 문제가 극복돼야 한다. 에너지부 보고서를 보면, 풍력이나 태양광 발전에 들어가는 비용은 kWe당 1700 2100달러인데 비해 지열 개발은 3000 6000달러나 된다. 그래서 지열 옹호론자들은 미 정부가 지열 발전 촉진에 더 많은 예산을 써야 한다고 요구하고 있다."
20,opportunity,0.454,0.4011,0.5333,3,1,1,1,positive,0.9999,0.4011436998844147,에너지 관리,E,신재생에너지 전환,한화솔루션은 지난해 3분기에 태양광 모듈 판매 호조에 힘입어 사상 최대 영업이익을 달성했다. 특히 신재생에너지 부문 영업이익은 1972억원으로 전년동기 대비 흑자 전환했다.
21,context,0.3811,0.5492,0.1289,1,1,1,1,neutral,0.9669,0.5679919123649597,에너지 관리,E,신재생에너지 전환,"이에 따라 두 기관은 강원랜드의 부지 건물을 활용한 태양광 발전, 폐광 산지를 활용한 육상풍력 등 신재생 에너지 사업을 공동 개발할 예정이다. 이와함께, 폐광 갱도 내 공기열과 수열을 활용한 에너지 효율화 방법도 연구 개발할 계획이다."
