idx,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text,review_needed,review_reason
1,opportunity,0.4385,0.5924,0.3853,1,2,1,1,,,,positive,0.9633,0.6149843335151672,에너지 관리,E,신재생에너지 전환,(3) 마지막으로 탄소 배출량이 적은 지역에서 재생에너지 장기공급계약(PPA)을 한 사업자가 생산한 수소다. 탄소 배출량이 적은 지역은 원전 발전 비중이 높은 지역도 포함된다.,TRUE,재무영향낮음(잠재규모1·가능성1)
2,opportunity,0.2079,0.2565,0.1818,1,1,1,1,,,,positive,0.5454,0.47037839889526367,기후변화·온실가스,E,Scope 3 배출량,"당초 철강과 시멘트, 알루미늄, 비료, 전력 산업에 적용할 계획이었으나 최근 화석연료로 생산하는 수소와 특정 전구체, 나사 및 볼트 등 일부 다운스트림 제품으로 범위를 확대했다.",TRUE,낮은신뢰도(0.545) | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
3,context,0.2196,0.3896,0.1388,1,2,1,1,,,,neutral,0.8676,0.4490797221660614,기후변화·온실가스,E,Scope 1·2 배출량,(2) 다음은 재생에너지 전력 사용량이 지난해 평균 90%를 넘는 지역으로부터 전력을 공급받아 생산한 수소다.,TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
4,opportunity,0.4299,0.3952,0.4332,1,1,2,1,,,,positive,0.9997,0.39535608887672424,에너지 관리,E,신재생에너지 전환,"이는 현재까지 태양광 설비 최대 신설로 기록된 2021년 13.4기가와트의 두 배 이상 되는 규모다. 미국의 태양광 발전은 2010년 이후 급증세를 보였으나, 지난해에는 원자재와 부품 공급 차질 등으로 23% 급감했다. EIA는 지난해 지연된 일부 태양광 사업이 올해 추진되면서 설비 증가 폭을 키울 것으로 전망했다.",TRUE,영향도낮음(규모1·범위1)
5,context,0.3106,0.5947,0.1331,1,1,1,1,,,,neutral,0.9979,0.5959392786026001,에너지 관리,E,신재생에너지 전환,앞서 KB금융그룹은 2021년 9월 국내 금융그룹 중 최초로 기업 사용전력의 100%를 재생에너지로 활용하겠다는 선언인 RE100 에 가입했다. KB증권은 이번에 구축한 태양광 발전으로 연 28톤 정도의 이산화탄소 감축 효과를 기대하고 있다. 이는 매년 나무 5000여 그루를 심는 것과 같은 수준이다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1)
6,context,0.2383,0.4343,0.1327,1,1,1,1,,,,neutral,0.9956,0.43624618649482727,에너지 관리,E,신재생에너지 전환,"미국 정부는 태양광을 통한 재생에너지 생산을 독려하고 있지만, 태양광 모듈시장의 중국산 점유율이 높아 중국 좋은 일만 시키는 꼴 아니냐는 고민에 빠져 있었다. 더구나 미중 패권전쟁이 기술전쟁 양상으로 전개되면서 미 바이든 행정부는 신재생에너지 분야에서도 중국 견제에 본격 나설 태세를 보인다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
7,context,0.2871,0.5726,0.1333,1,1,1,1,,,,neutral,0.9998,0.5726916193962097,이사회 구조,G,이사회 구성 및 독립성,"한국ESG평가원 손종원 대표는 국내 기업의 주총 이슈는 이제껏 기업 실적과 배당, 신사업 투자 등에 집중됐지만, 점차 기후변화와 이사회 독립성 등 ESG 관련 이슈가 확대될 것이라며 이는 바람직한 변화라고 설명했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
8,opportunity,0.4358,0.4279,0.5322,1,1,3,1,,,,positive,0.9978,0.42888498306274414,에너지 관리,E,에너지 소비 및 효율화,"현대로템은 승차 편의성과 에너지 절감을 중시하는 세계적 추세에 맞춰 지난해부터 영속도 회생제동 기술개발을 진행했으며 독일과 일본에 이어 이 기술을 상용화했다. 기존 전동차는 정차 때 저속에서 정확한 회생제동 제어가 어려워 제동패드를 압착시켜 정차시키는 공기제동을 사용해 왔다. 공기제동은 정차 때 마찰 소음이 발생하고, 감속도가 일정치 않아 정위치에 정차하지 못하는 경우가 있으며 제동패드가 마모되면서 터널 내 미세먼지가 발생하는 단점이 있다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
9,risk,0.4141,0.3776,0.5245,3,1,1,1,,,,negative,0.9835,0.3839462697505951,에너지 관리,E,신재생에너지 전환,"신재생에너지 부문은 지난해 1분기까지 6분기 연속 영업손실을 기록했지만, 2분기부터 소폭 흑자 전환에 성공한 데 이어 3분기에는 큰 폭의 영업이익을 냈다. 한화솔루션은 지난해 4분기에도 양호한 실적을 거둬 영업이익이 3230억원에 달할 것으로 증권가는 추정한다.",TRUE,재무영향낮음(잠재규모1·가능성1)
10,context,0.2693,0.4818,0.1733,1,1,2,1,,,,neutral,0.9998,0.48194417357444763,에너지 관리,E,신재생에너지 전환,"기업이 재생에너지 100% 사용을 선언하는 것과 RE100에 가입하는 것은 이처럼 확연한 차이가 있다. LG 계열사들의 RE100 가입 가능성이 커 보이지만, LG 관계자는 이에 대한 언급은 피했다. 그는 계열사별로 사정이 달라 RE100 가입 여부나 시기에 대해 언급하기 어렵다 고 조심스레 말했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
