idx,db_id,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text
1,24,opportunity,0.1762,0.5664,0.3013,3,3,3,1,1,2,0.1623,neutral,0.8692,0.6516298651695251,에너지 관리,E,신재생에너지 전환,AI 데이터센터(AIDC) 진흥 법안의 핵심 쟁점인 전력 직접구매계약(PPA) 허용 여부를 두고 과학기술정보통신부와 기후에너지환경부 간 의견 차이가 발생하면서 법안 처리가 보류됐다. PPA는 발전사업자와 직접 계약을 체결해 전력 비용을 절감하고 전력 수요를 지방으로 분산하는 방식이다. 해당 제도는 대규모 전력 수요가 발생하는 데이터센터 산업의 경쟁력과 직결되는 정책으로 논의되고 있다. 글로벌 사례로는 오픈AI의 스타게이트(Stargate) 프로젝트에 약 5000억달러 규모 투자가 추진되는 점이 언급됐다.
2,25,opportunity,0.1367,0.558,0.1201,1,1,1,1,1,1,0.1201,neutral,0.901,0.6192905902862549,에너지 관리,E,신재생에너지 전환,OCI홀딩스 자회사 OCI에너지는 아라바파워(Arava Power)와 공동 개발 중인 미국 텍사스 Sun Roper 태양광 프로젝트의 금융 조달을 완료했다. 조달 규모는 약 3억9400만달러이며 ING Capital이 단독 주관사로 참여했다. 발전 용량은 260MW이며 텍사스 전력시장과 20년 전력구매계약(PPA)을 체결해 수익 구조를 확보했다. 해당 프로젝트는 투자세액공제(ITC) 30%와 에너지 커뮤니티 보너스 10%를 합쳐 최대 40%의 투자비 환급이 가능하며 2027년 3분기 상업 운전을 시작할 예정이다.
3,26,opportunity,0.1585,0.5965,0.1663,1,3,1,1,1,2,0.1663,neutral,0.8908,0.6695858836174011,에너지 관리,E,신재생에너지 전환,글로벌 식품 기업 마스(Mars)는 스웨덴 쾨발렌 풍력발전소 발전량의 약 70%를 장기 전력구매계약(PPA)을 통해 확보했다. 해당 풍력발전소는 설비용량 277.2MW로 연간 약 670GWh 전력을 생산한다. 마스는 이 전력을 자사 운영 시설뿐 아니라 공급망 전반에 활용할 계획이라고 밝혔다. 이번 계약은 유럽 가치사슬의 탈탄소화를 추진하는 동시에 프로젝트 금융 조달 안정성 확보에도 기여하는 구조로 설명됐다.
4,27,risk,0.1472,0.4355,0.1496,1,1,2,1,3,2,0.2991,neutral,0.8629,0.5046456456184387,에너지 관리,E,신재생에너지 전환,AI 데이터센터를 국가 전략 인프라로 육성하기 위한 특별법이 국회 법안소위원회에 상정됐다. 법안 논의에서는 전력 직접거래(PPA) 허용과 전력계통영향평가 면제 여부가 핵심 쟁점으로 부각됐다. 1GW급 데이터센터의 연간 전기요금이 약 1조원에 달하는 만큼 안정적인 전력 조달 체계 마련이 산업 경쟁력과 직결되는 사안으로 제시됐다. 법안의 실효성은 전력 특례의 적용 범위와 방식에 따라 달라질 가능성이 제기됐다.
5,28,risk,0.1648,0.5166,0.2234,3,1,2,1,2,2,0.2351,neutral,0.8818,0.585831880569458,에너지 관리,E,신재생에너지 전환,정부가 분산형 전력망 확대를 위해 총 3210억원을 투입하는 계획을 추진했다. 올해 20개를 시작으로 2030년까지 배전망 85곳에 에너지저장장치(ESS)를 구축하는 방안이 포함됐다. 이를 통해 약 485MW 규모의 태양광 발전 추가 접속이 가능해질 것으로 제시됐다. 제주 시범 운영을 기반으로 육지 확대와 전력 시장 제도 개편도 함께 추진된다.
6,29,opportunity,0.1381,0.4796,0.1666,1,3,1,1,1,2,0.1666,neutral,0.8927,0.5372421741485596,에너지 관리,E,신재생에너지 전환,"SK그룹은 글로벌 사모펀드 운용사 KKR과 신재생에너지 사업 통합을 추진한다. SK이터닉스와 SK이노베이션 E S, SK에코플랜트의 신재생에너지 사업을 KKR에 패키지로 매각한 뒤 합작법인(JV) 지분을 취득하는 구조다. 매각 대상에는 SK디스커버리가 보유한 SK이터닉스 경영권 지분 30.98%도 포함됐다. 이를 통해 신재생에너지 사업을 통합 운영하는 체계를 구축할 계획이다."
7,30,opportunity,0.1399,0.5507,0.1449,1,2,1,1,1,1,0.1207,neutral,0.9055,0.6081240177154541,에너지 관리,E,신재생에너지 전환,"메타는 미국에서 최대 6.6GW 규모의 원전 전력 확보를 목표로 비스트라 테라파워 오클로와 2035년까지의 계약을 체결했다. 20년간 전력구매계약(PPA)과 원전 개발 자금 지원, 기존 원전 수명 연장을 포함하는 합의로 AI 데이터센터 확장을 뒷받침하기로 했다. 나트리움 원전 2기 자금 지원과 최대 2.8GW 확대 계획, 오하이오주 원전 수명 연장 및 433MW 용량 증강 지원이 포함됐다. 이는 전력 공급망 안정과 지역사회 영향 확대를 고려한 조치로 설명됐다."
8,31,opportunity,0.1435,0.5976,0.1197,1,1,1,1,1,1,0.1197,neutral,0.8981,0.6653997302055359,에너지 관리,E,신재생에너지 전환,영국 정부가 신재생에너지 차액계약제도(CfD)를 통해 14 15GW 규모의 신규 재생에너지 발전용량을 확보했다고 가디언이 10일(현지시간) 보도했다. 이는 2014년 하반기 CfD 시행 이후 최대 규모 계약이다. 태양광이 가장 큰 비중을 차지하며 육상풍력과 조력 발전도 포함됐다. 정부는 향후 수년간 해당 설비를 순차적으로 완공해 전력망에 연결할 계획이다.
9,32,opportunity,0.1142,0.416,0.1426,1,1,2,1,1,1,0.1097,neutral,0.8225,0.5057842135429382,인적자원 관리,S,다양성 및 형평성 (DEI),"미국 연방 고용평등기회위원회(EEOC)가 나이키의 다양성 형평성 포용성(DEI) 정책이 백인 직원에 대한 역차별에 해당하는지 여부를 조사하고 있다. EEOC는 2월 4일 미주리 동부 연방법원에 소환장 집행을 요청하는 문건을 제출했으며, 해당 문건에서 나이키가 DEI 프로그램과 관련해 의도적 인종 차별을 했을 가능성이 있다 고 밝히고 공식 조사에 착수했다고 설명했다. 이번 사안에서는 나이키가 공시한 DEI 목표와 활동 정보가 정부 조사 근거로 활용됐다는 점이 주목된다. EEOC는 나이키가 백인 직원과 지원자, 교육 프로그램 참가자에게 불리한 대우를 했는지 여부를 확인하고 있다."
10,33,opportunity,0.1469,0.5944,0.1479,1,1,2,1,1,1,0.1137,neutral,0.853,0.6968280673027039,ESG 데이터 거버넌스,G,ESG 데이터 내부통제,EU 집행위원회는 3일(현지시각) 유럽감사감독기구위원회(CEAOB)에 9월 30일까지 지속가능성 검증 기준 개발을 위한 기술 자문을 제출해달라고 요청했다. 이는 개정된 기업지속가능성보고지침(CSRD)에 따라 2027년 7월까지 제한적 보증(limited assurance) 기준을 담은 위임입법(Delegated Act)을 채택해야 하기 때문이다. 제한적 보증은 검증인이 ESG 보고서를 검토한 결과 중요한 오류가 발견되지 않았다는 소극적 결론을 제시하는 방식이다. 이는 질문과 분석적 절차 중심으로 수행되며 재무제표 반기 검토와 유사한 수준으로 설명됐다.
