text,label,iro_type,sub_issue_hint
"현대모비스, 리콜 50만대 실시 - 충당부채 200억원 설정",negative,risk,S_PRODUCT_SAFETY
"HL만도 온실가스 배출량 전년 대비 15% 감소 달성",positive,positive_impact,E_CLIMATE_RISK
"한온시스템, 산업재해율 업계 평균 대비 2배 높아 논란",negative,negative_impact,S_OCCUPATIONAL_SAFETY
"위아 ESG 위원회 신설, 이사회 내 독립적 감독 체계 구축",positive,context,G_ESG_GOVERNANCE
"공급망 내 협력사 인권침해 의혹 제기, 조사 착수",negative,risk,S_HUMAN_RIGHTS
"전기차 부품 전환율 40% 달성, 미래 수주 확대 기대",positive,opportunity,E_PRODUCT_ECO
"배수 오염 사고 발생, 환경부 행정처분 예정",negative,negative_impact,E_WATER_POLLUTION
"탄소중립 로드맵 발표, 2040년 넷제로 목표 선언",positive,opportunity,E_CLIMATE_RISK
"임원 보수 과다 논란, 주주총회 반대표 35% 집계",negative,risk,G_EXECUTIVE_PAY
"협력사 대금 지급 지연 개선, 상생협력 지수 A등급",positive,positive_impact,S_SUPPLY_CHAIN
"개인정보 유출 사고, 고객 50만명 피해 발생",negative,risk,S_DATA_PRIVACY
"친환경 공정 도입으로 용수 사용량 20% 절감",positive,positive_impact,E_WATER_USAGE
"산업안전보건법 위반, 과태료 5000만원 부과",negative,risk,S_OCCUPATIONAL_SAFETY
"R&D 투자 3년 연속 증가, 매출 대비 5.2%",positive,opportunity,E_GREEN_INVESTMENT
"기후변화로 인한 원자재 공급망 불안정, 원가 상승 우려",negative,risk,E_CLIMATE_RISK
"이사회 내 여성 비율 25% 달성, 다양성 강화",positive,context,G_BOARD_DIVERSITY
"고객사 납품 결함 발생, 손해배상 소송 진행 중",negative,risk,S_PRODUCT_SAFETY
"LCA(전과정 평가) 도입으로 제품 환경영향 정량화",positive,context,E_PRODUCT_ECO
"협력사 ESG 역량 강화 프로그램 운영, 50개사 참여",positive,positive_impact,S_SUPPLY_CHAIN
"사이버 보안 취약점 발견, 긴급 패치 배포",negative,risk,S_DATA_PRIVACY
